27.124.11.0/24|4134 64050 I|27.124.11.0/24|64050 64050
45.205.207.0/24|4134 26484 26484 I|45.205.0.0/16|35916
45.205.208.0/24|4134 26484 26484 I|45.205.0.0/16|35916
27.124.56.0/24|4134 64050 I|27.124.56.0/24|64050
45.205.209.0/24|4134 26484 26484 I|45.205.0.0/16|35916
27.124.61.0/24|4134 64050 I|27.124.61.0/24|64050
45.205.210.0/24|4134 26484 26484 I|45.205.0.0/16|35916
45.129.94.0/24|4134 39533 34854 34854 34854 34854 49752 I|45.129.94.0/24|58299 49752
45.205.211.0/24|4134 26484 26484 I|45.205.0.0/16|35916
45.205.212.0/24|4134 26484 26484 I|45.205.0.0/16|35916
45.205.213.0/24|4134 26484 26484 I|45.205.0.0/16|35916
103.20.250.0/24|10099 9929 4837 17621 55994 I|103.20.250.0/23|3491 137443
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.138.0/24|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.138.0/23|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.136.0/24|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.139.0/24|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.137.0/24|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.136.0/22|58057
45.136.136.0/22|4134 39533 58057 58057 58057 58057 I|45.136.136.0/23|58057
45.205.214.0/24|4134 26484 26484 I|45.205.0.0/16|35916
58.254.192.0/18|10099 9929 17816 I|58.254.192.0/18|2914 9929 17816
58.254.192.0/18|10099 9929 17816 I|58.254.218.0/23|2914 9929
58.254.192.0/18|10099 9929 17816 I|58.254.216.0/23|2914 9929
58.254.192.0/18|10099 9929 17816 I|58.254.216.0/22|2914 9929
58.254.192.0/18|10099 9929 17816 I|58.254.216.0/23|10099 9929
58.254.192.0/18|10099 9929 17816 I|58.254.218.0/23|10099 9929
58.254.192.0/18|10099 9929 17816 I|58.254.216.0/22|10099 9929
58.254.192.0/18|10099 9929 17816 I|58.254.192.0/18|10099 9929 17816
45.139.8.0/24|4134 39533 49666 49666 49666 49666 42440 16322 60976 47285 I|45.139.8.0/24|39533 49666 42440 16322 60976 47285
45.139.8.0/24|4134 39533 49666 49666 49666 49666 42440 16322 60976 47285 I|45.139.8.0/24|6453 39533 49666 42440 16322 60976 47285
103.20.251.0/24|10099 9929 4837 17621 55994 I|103.20.250.0/23|3491 137443
45.139.8.0/24|4134 39533 49666 49666 49666 49666 42440 16322 60976 47285 I|45.139.8.0/22|5511 49666 42440 16322 60976 47285
45.205.215.0/24|4134 26484 26484 I|45.205.0.0/16|35916
58.254.216.0/22|10099 9929 I|58.254.192.0/18|2914 9929 17816
58.254.216.0/22|10099 9929 I|58.254.218.0/23|2914 9929
58.254.216.0/22|10099 9929 I|58.254.216.0/23|2914 9929
58.254.216.0/22|10099 9929 I|58.254.216.0/22|2914 9929
58.254.216.0/22|10099 9929 I|58.254.216.0/23|10099 9929
58.254.216.0/22|10099 9929 I|58.254.218.0/23|10099 9929
58.254.216.0/22|10099 9929 I|58.254.216.0/22|10099 9929
58.254.216.0/22|10099 9929 I|58.254.192.0/18|10099 9929 17816
61.240.32.0/19|10099 9929 4837 I|61.240.48.0/21|2914 9929
45.205.216.0/24|4134 26484 26484 I|45.205.0.0/16|35916
61.240.32.0/19|10099 9929 4837 I|61.240.48.0/21|10099 9929
61.240.32.0/19|10099 9929 4837 I|61.240.48.0/21|3491 9929
61.240.32.0/19|10099 9929 4837 I|61.240.48.0/21|2914 9929 9929
61.240.48.0/21|10099 9929 I|61.240.48.0/21|2914 9929
45.205.217.0/24|4134 26484 26484 I|45.205.0.0/16|35916
61.240.48.0/21|10099 9929 I|61.240.48.0/21|10099 9929
61.240.48.0/21|10099 9929 I|61.240.48.0/21|3491 9929
61.240.48.0/21|10099 9929 I|61.240.48.0/21|2914 9929 9929
101.198.192.0/19|4134 36678 55992 55992 I|101.198.192.0/24|21859 55992
59.109.0.0/16|4134 4847 I|59.109.239.0/24|3491 7497 18245
59.109.0.0/16|4134 4847 I|59.109.224.0/20|3491 7497 18245
45.205.218.0/24|4134 26484 26484 I|45.205.0.0/16|35916
45.205.219.0/24|4134 26484 26484 I|45.205.0.0/16|35916
27.148.0.0/14|4134 I|27.148.248.0/21|4637 4637 4637 4637 4809
45.150.148.0/22|4134 39533 206499 206499 206499 206499 34872 34872 34872 43069 I|45.150.148.0/22|57199 43069
42.84.0.0/14|10099 9929 4837 I|42.84.176.0/21|2914 9929
45.205.220.0/24|4134 26484 26484 I|45.205.0.0/16|35916
61.135.0.0/16|10099 9929 4837 4808 I|61.135.227.0/24|2914 9929 4808
61.135.0.0/16|10099 9929 4837 4808 I|61.135.227.0/24|10099 9929 4808
42.84.0.0/14|10099 9929 4837 I|42.84.176.0/21|10099 9929
61.135.0.0/16|10099 9929 4837 4808 I|61.135.227.0/24|3491 9929 4808
42.84.0.0/14|10099 9929 4837 I|42.84.176.0/21|3491 9929
42.84.0.0/14|10099 9929 4837 I|42.84.176.0/21|2914 9929 9929
42.84.176.0/21|10099 9929 I|42.84.176.0/21|2914 9929
61.135.227.0/24|10099 9929 4808 I|61.135.227.0/24|2914 9929 4808
45.205.221.0/24|4134 26484 26484 I|45.205.0.0/16|35916
61.135.227.0/24|10099 9929 4808 I|61.135.227.0/24|10099 9929 4808
